"cowID","date_birth","breed"
316,"2000-10-08","66"
317,"2000-10-08","66"
318,"2000-10-12","66"
319,"2000-10-24","66"
320,"2000-11-11","66"
321,"2001-01-12","66"
322,"2001-01-29","66"
323,"2001-02-07","66"
324,"2001-02-24","66"
325,"2001-03-02","66"
326,"2001-03-11","66"
327,"2001-03-14","66"
328,"2001-05-12","66"
329,"2001-06-22","66"
330,"2001-09-03","66"
331,"2001-09-20","66"
332,"2001-09-24","66"
333,"2001-10-21","66"
334,"2001-10-29","66"
335,"2001-11-03","66"
336,"2001-11-18","66"
337,"2002-01-21","66"
338,"2002-02-23","66"
339,"2002-03-27","66"
340,"2002-04-13","66"
341,"2002-04-23","66"
342,"2002-04-25","66"
343,"2002-05-05","66"
344,"2002-06-13","66"
345,"2002-06-18","66"
346,"2002-06-19","66"
347,"2002-07-21","66"
348,"2002-08-02","66"
349,"2002-09-17","66"
350,"2002-10-02","66"
351,"2002-10-05","66"
352,"2002-11-30","66"
353,"2002-12-05","66"
354,"2002-12-17","66"
355,"2002-12-23","66"
356,"2003-01-07","66"
357,"2003-01-13","66"
358,"2003-01-28","66"
359,"2003-02-05","66"
360,"2003-03-04","66"
361,"2003-03-31","66"
362,"2003-04-15","66"
363,"2003-05-09","66"
364,"2003-05-29","66"
365,"2003-08-01","66"
366,"2003-08-03","66"
367,"2003-09-11","66"
368,"2003-11-21","66"
369,"2003-12-02","66"
370,"2004-01-06","66"
371,"2004-01-14","66"
372,"2004-01-20","66"
373,"2004-01-28","66"
374,"2004-02-01","66"
375,"2004-02-15","66"
376,"2004-02-17","66"
377,"2004-03-05","66"
378,"2004-03-14","66"
379,"2004-03-22","66"
380,"2004-04-21","66"
381,"2004-05-03","66"
382,"2004-06-01","66"
383,"2004-06-28","66"
384,"2004-07-06","66"
385,"2004-07-16","66"
386,"2004-08-02","66"
387,"2004-08-04","66"
388,"2004-08-13","66"
389,"2004-08-28","66"
390,"2004-10-22","66"
391,"2004-11-09","66"
392,"2004-11-14","66"
393,"2004-11-30","66"
394,"2005-01-07","66"
395,"2005-03-22","66"
396,"2005-04-02","66"
397,"2005-04-08","66"
398,"2005-04-09","66"
399,"2005-04-27","66"
400,"2005-06-02","66"
401,"2005-07-01","66"
402,"2005-07-14","66"
403,"2005-07-30","66"
404,"2005-08-07","66"
405,"2005-08-15","66"
406,"2005-09-01","66"
407,"2005-09-04","66"
408,"2005-09-29","66"
409,"2005-10-03","66"
410,"2005-11-12","66"
411,"2006-02-05","66"
412,"2006-03-30","66"
413,"2006-04-10","66"
414,"2006-04-12","66"
415,"2006-04-15","66"
416,"2006-05-18","66"
417,"2006-06-03","66"
418,"2006-06-10","66"
419,"2006-08-12","66"
420,"2006-08-21","66"
421,"2006-08-30","66"
422,"2006-09-28","66"
423,"2006-10-08","66"
424,"2006-10-27","66"
425,"2006-10-28","66"
426,"2006-11-12","66"
427,"2007-01-07","66"
428,"2007-01-23","66"
429,"2007-01-25","66"
430,"2007-02-11","66"
431,"2007-02-27","66"
432,"2007-03-03","66"
433,"2007-03-21","66"
434,"2007-03-24","66"
435,"2007-04-17","66"
436,"2007-04-17","66"
437,"2007-04-23","66"
438,"2007-05-16","66"
439,"2007-05-28","66"
440,"2007-06-02","66"
441,"2007-07-24","66"
442,"2007-07-28","66"
443,"2007-07-30","66"
444,"2007-08-12","66"
445,"2007-09-09","66"
446,"2007-09-10","66"
447,"2007-09-10","66"
448,"2007-11-24","66"
449,"2007-12-16","66"
450,"2008-01-13","66"
451,"2008-02-10","66"
452,"2008-02-19","66"
453,"2008-02-21","66"
454,"2008-03-14","66"
455,"2008-03-14","66"
456,"2008-03-27","66"
457,"2008-03-29","66"
458,"2008-04-09","66"
459,"2008-05-12","66"
460,"2008-05-25","66"
461,"2008-06-05","66"
462,"2008-07-06","66"
463,"2008-09-17","66"
464,"2008-09-25","66"
465,"2004-11-07","66"
466,"2004-11-16","66"
467,"2005-01-14","66"
468,"2005-01-21","66"
469,"2005-02-03","66"
470,"1993-11-03","66"
471,"1995-03-27","66"
472,"1995-11-18","66"
473,"1996-12-16","66"
474,"1997-03-30","66"
475,"1997-04-20","66"
476,"1997-05-03","66"
477,"1997-08-03","66"
478,"1997-10-19","66"
479,"1997-12-21","66"
480,"1998-01-04","66"
481,"1998-02-22","66"
482,"1998-04-20","66"
483,"1998-05-27","66"
484,"1998-06-18","66"
485,"1998-08-08","66"
486,"1998-10-04","66"
487,"1998-10-04","66"
488,"1998-11-09","66"
489,"1998-11-19","66"
490,"1998-10-25","66"
491,"1997-01-17","66"
492,"1997-02-09","66"
493,"1997-06-06","66"
494,"1997-06-12","66"
495,"1997-08-21","66"
496,"1997-11-07","66"
497,"1997-11-08","66"
498,"1998-01-08","66"
499,"1998-01-30","66"
500,"1998-05-16","66"
501,"1998-05-17","66"
502,"1998-06-13","66"
503,"1998-06-24","66"
504,"1998-07-04","66"
505,"1998-07-12","66"
506,"1998-07-28","66"
507,"1998-08-23","66"
508,"1998-08-27","66"
509,"1998-08-27","66"
510,"1998-09-02","66"
511,"1998-09-02","66"
512,"1998-09-03","66"
513,"1998-09-15","66"
514,"1998-11-08","66"
515,"1998-12-10","66"
516,"1998-12-10","66"
517,"1998-12-13","66"
518,"1998-12-29","66"
519,"1999-03-10","66"
520,"1999-04-06","66"
521,"1999-04-14","66"
522,"1999-06-09","66"
523,"1999-06-09","66"
524,"1999-06-10","66"
525,"1999-07-02","66"
526,"1999-07-02","66"
527,"1999-07-13","66"
528,"1999-07-14","66"
529,"1999-07-27","66"
530,"1999-07-27","66"
531,"1999-08-09","66"
532,"1999-09-01","66"
533,"1999-09-08","66"
534,"1999-09-08","66"
535,"1999-09-15","66"
536,"1999-09-15","66"
537,"1999-10-03","66"
538,"1999-10-22","66"
539,"1999-11-03","66"
540,"1999-12-30","66"
541,"2000-01-18","66"
542,"2000-02-05","66"
543,"2000-05-26","66"
544,"2000-06-08","66"
545,"2000-06-23","66"
546,"2000-08-24","66"
547,"2000-08-29","66"
548,"2000-08-30","66"
549,"2000-09-13","66"
550,"2000-09-15","66"
551,"2000-09-27","66"
552,"2000-09-27","66"
553,"2000-10-16","66"
554,"2000-12-08","66"
555,"2000-12-08","66"
556,"2000-12-10","66"
557,"2001-01-03","66"
558,"2001-02-21","66"
559,"2001-06-12","66"
560,"2001-06-25","66"
561,"2001-06-30","66"
562,"2001-07-18","66"
563,"2001-07-20","66"
564,"2001-07-20","66"
565,"2001-07-20","66"
566,"2001-07-30","66"
567,"2001-07-31","66"
568,"2001-08-01","66"
569,"2001-08-23","66"
570,"2001-08-24","66"
571,"2001-09-09","66"
572,"2001-09-10","66"
573,"2001-09-16","66"
574,"2001-09-22","66"
575,"2001-09-26","66"
576,"2001-09-29","66"
577,"2001-10-05","66"
578,"2001-10-15","66"
579,"2001-10-26","66"
580,"2001-11-11","66"
581,"2001-11-19","66"
582,"2002-01-20","66"
583,"2002-01-23","66"
584,"2002-02-04","66"
585,"2002-02-13","66"
586,"2002-02-14","66"
587,"2002-02-25","66"
588,"2002-03-10","66"
589,"2002-04-28","66"
590,"2002-05-21","66"
591,"2002-05-23","66"
592,"2002-06-01","66"
593,"2002-06-03","66"
594,"2002-06-06","66"
595,"2002-06-15","66"
596,"2002-07-14","66"
597,"2002-07-14","66"
598,"2002-07-19","66"
599,"2002-09-07","66"
600,"2002-09-15","66"
601,"2002-10-03","66"
602,"2002-10-05","66"
603,"2002-10-12","66"
604,"2002-10-27","66"
605,"2002-10-27","66"
606,"2002-11-05","66"
607,"2002-12-16","66"
608,"2002-12-17","66"
609,"2002-12-22","66"
610,"2003-01-22","66"
611,"2003-01-26","66"
612,"2003-01-06","66"
613,"2003-03-28","66"
614,"2003-04-10","66"
615,"2003-05-20","66"
616,"2003-06-01","66"
617,"2003-06-02","66"
618,"2003-06-05","66"
619,"2003-06-12","66"
620,"2003-06-12","66"
621,"2003-06-30","66"
622,"2003-07-01","66"
623,"2003-08-05","66"
624,"2003-08-08","66"
625,"2003-09-12","66"
626,"2003-09-13","66"
627,"2003-10-02","66"
628,"2003-10-18","66"
629,"2003-11-06","66"
630,"2003-11-10","66"
631,"2003-11-20","66"
632,"2003-11-25","66"
633,"2003-11-26","66"
634,"2003-12-09","66"
635,"2004-02-01","66"
636,"2004-02-19","66"
637,"2004-03-15","66"
638,"2004-04-20","66"
639,"2004-05-31","66"
640,"2004-06-05","66"
641,"2004-06-05","66"
642,"2004-06-06","66"
643,"2004-06-08","66"
644,"2004-06-15","66"
645,"2004-06-16","66"
646,"2004-06-18","66"
647,"2004-06-20","66"
648,"2004-07-04","66"
649,"2004-07-23","66"
650,"2004-08-03","66"
651,"2004-08-15","66"
652,"2004-09-07","66"
653,"2004-09-19","66"
654,"2004-09-21","66"
655,"2004-09-22","66"
656,"2004-09-27","66"
657,"2004-11-27","66"
658,"2004-12-02","66"
659,"2004-12-10","66"
660,"2004-12-23","66"
661,"2004-12-31","66"
662,"2005-01-15","66"
663,"2005-01-15","66"
664,"2005-02-10","66"
665,"2005-02-14","66"
666,"2005-02-20","66"
667,"2005-02-23","66"
668,"2005-03-26","66"
669,"2005-04-23","66"
670,"2005-06-11","66"
671,"2005-06-12","66"
672,"2005-06-14","66"
673,"2005-06-27","66"
674,"2005-06-27","66"
675,"2005-07-01","66"
676,"2005-07-05","66"
677,"2005-07-08","66"
678,"2005-07-22","66"
679,"2005-08-03","66"
680,"2005-08-06","66"
681,"2005-08-09","66"
682,"2005-08-09","66"
683,"2005-08-13","66"
684,"2005-08-30","66"
685,"2005-09-03","66"
686,"2005-09-06","66"
687,"2005-09-12","66"
688,"2005-09-12","66"
689,"2005-10-25","66"
690,"2005-11-09","66"
691,"2005-11-11","66"
692,"2005-11-17","66"
693,"2005-11-20","66"
694,"2005-12-15","66"
695,"2005-12-25","66"
696,"2006-01-05","66"
697,"2006-04-10","66"
698,"2006-05-23","66"
699,"2006-06-27","66"
700,"2006-06-28","66"
701,"2006-07-18","66"
702,"2006-07-22","66"
703,"2006-07-25","66"
704,"2006-08-06","66"
705,"2006-08-14","66"
706,"2006-08-15","66"
707,"2006-09-24","66"
708,"2006-09-27","66"
709,"2006-09-28","66"
710,"2006-10-05","66"
711,"2006-11-10","66"
712,"2006-11-25","66"
713,"2006-12-07","66"
714,"2006-12-19","66"
715,"2006-12-22","66"
716,"2007-01-07","66"
717,"2007-02-22","66"
718,"2007-03-06","66"
719,"2007-04-13","66"
720,"2007-05-24","66"
721,"2007-05-25","66"
722,"2007-06-13","66"
723,"2007-06-15","66"
724,"2007-06-17","66"
725,"2007-06-25","66"
726,"2007-06-25","66"
727,"2007-06-29","66"
728,"2007-06-30","66"
729,"2007-07-08","66"
730,"2007-07-13","66"
731,"2007-07-13","66"
732,"2007-07-31","66"
733,"2007-08-01","66"
734,"2007-08-02","66"
735,"2007-08-05","66"
736,"2007-08-09","66"
737,"2007-08-18","66"
738,"2007-08-21","66"
739,"2007-08-22","66"
740,"2007-09-03","66"
741,"2007-09-04","66"
742,"2007-09-06","66"
743,"2007-09-20","66"
744,"2007-09-26","66"
745,"2007-09-27","66"
746,"2007-09-28","66"
747,"2007-10-11","66"
748,"2007-10-29","66"
749,"2007-10-30","66"
750,"2007-11-14","66"
751,"2007-11-15","66"
752,"2007-11-17","66"
753,"2007-12-03","66"
754,"2008-02-12","66"
755,"2008-02-20","66"
756,"2008-02-25","66"
757,"2008-03-08","66"
758,"2008-04-15","66"
759,"2008-05-06","66"
760,"2008-05-30","66"
761,"2008-06-09","66"
762,"2008-06-21","66"
763,"2008-06-22","66"
764,"2008-07-09","66"
765,"2008-07-16","66"
766,"2008-07-23","66"
767,"2008-08-13","66"
768,"2008-08-15","66"
769,"2008-08-20","66"
770,"2008-09-02","66"
771,"2008-09-12","66"
772,"1993-10-28","66"
773,"1994-10-28","66"
774,"1995-10-15","66"
775,"1996-03-10","66"
776,"1996-12-26","66"
777,"1996-12-10","66"
